"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
"@EmanPasquali","It is 
very funny😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@tonychristoffels5685","2025, are you here ?😂🤝","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@Brastonjalatachimbwete","🤣🤣🤣 @Benz 10, never disappoint, and k brown","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@Brastonjalatachimbwete","We are here 2025 October","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@SaiKarate-y7l2v","Something is smelling 😅😅😂shu men😅","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@blurdream","Watching in September 2025, still one of the best❤","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@PurrfectPalsAI","still the best in these days HAHAHAHA","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@GiannaSmall1","Anyone here august 2025?😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@MarkMoitz-h7k","Aug 26 2025😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@SiyanthandaInam","Nice trie Emanuel","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@BabiryeJawuharah","I can't stop laughing 😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@SaimonRamires-do6jq","Even denilson was warning us about trump six year ago. 😂😂😂😂😂
Trump has kill me ooooo😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@drcathymwesigwa9080","0:20  what did he say😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@immanuelm4579","2025 we are still here","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@NicoleAdatsi-ug9bc","😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@EmmanuelKiyindou","Why is he talking like that?","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@SammoyaSuban","Who's here in 2025","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@OmorinadeBanjo","😂😂😂😂😂😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@Mutembei-tv","Who is here  2100","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@sineee_was10","😝😝😝😝🌺😭","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@sineee_was10","3:30 😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@StellaBluecy","Me still here in 2025 and it's still this funny chaiiii 😅😂😅😅
Shu!!!!😅😅😅😅😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@SalimJibril-p5f","😂😂😂😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@kingsleymills4635","I really can't believe this guy exploited Emmanuella for years. Made millions of her n still couldn't help her change her life . KARMA will hit you when u least expect it. God n the gods of this universe will make a fool out of you in no time n money can't save you. GREEDY BASTA*D","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@DanielAmeyawttxn","come to trinidad first","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@colinsfonjiaatem1859","So funny 😂😂🎉I love it","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@SandraAw-b4s","Who is here in 2025 june 29th❤😂😊😅","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@MoBLuBSiAb4LiFe","When it was actually good","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@chrisogada4916","Where is denilson","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@wwidnaute1263","😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@NzeValen256","Trump run madooo😂😅","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@NagaManuK1994","Anyone in june 2025 ?❤️","7978","https://youtu.be/Z1yBM1mheU4","1","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@isaiahfrancis6442","7:14 Trump has killed me oooh 😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"7"
"@LeeroyGabriel","🤣🤣🤣","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@ceideplayz3311","2025 😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@itsmeNaufalReborn","They should've made an episode called 'Biden'.","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@Sonramtm78274","Once he take a bath he will be fine😅😅😅😅😅","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@francistladi1789","2025 All they way I'm here","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@thabangmncwabe3506","Denilson is mad oo 
I'm from south africa","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@vivianikheloa4792","No be African they born you","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@vivianikheloa4792","Shoo men haha","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@vivianikheloa4792","Hahaha men men na Trump or drum","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@AshleyCole-t7f","Who else is her 2025 😂😅😊","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@BeyonceNiyitanga","You still live here men.....men......men i like your comedy much love from Rwanda 🇷🇼🇷🇼🇷🇼","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@SALIBAABA100","2025still shuuuu","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@SesayMilton-l8v","Congratulations that deniesiel is back","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@collins8153","Who else is here 2045","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@paulmatarasonofsoil7453","Dawa ya ndovu ❤❤❤❤kijana soft","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@Afodis","2025 ?😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@uzomaugoeze7367","i love you so very much sussing ❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉😢😢😢😢😢😢😮😮😮😮😮😮😅😅😅😅😅😅😊😊😊😊😊","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@Nagakairi-e7d","Anyone 2025? 😂","7978","https://youtu.be/Z1yBM1mheU4","1","Trump (Mark Angel Comedy) (Episode 203)","comment",,"12"
"@IniOrimogunje-gw5et","Enlisonday ashay onegay azycray (it's in pig Latin 🐖 ♥️ btw)","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@AxroravibesDukuly-tv9wb","First Kanye west now trump  denilson whyyyy😂😂😂😂😊","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"7"
"@nadiatou313","Every time that i want to laught i come watch this video it make my day😅😅😅😅😅put me down right now😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@MAKAUAIAKA","Who else came after watching kanye west style","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@thenjiwencube4093","😂 i can't get tired of this😂Trump baby","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@mastergenius6548","0:22 o my nigma 😀","7978","https://youtu.be/Z1yBM1mheU4","1","Trump (Mark Angel Comedy) (Episode 203)","comment",,"31"
"@ApolotJosephine-d3n","Hahahaha Emmanuelle 😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@TBOYSOCCER","MEN ....... HOW MANY?????","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@MAKAUAIAKA","Who also came back from watching kanye west","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@Izabella_belle12","Meee","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","reply",,"0"
"@Ablockin4eva","Frl 😂😂😂😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","reply",,"3"
"@yrase8544","Me!!!! I love watching old mark angel videos they never  fail to make me me laugh 😆","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","reply",,"0"
"@harrybanda4791","I had the hardest part believing k brown is black and denilson is brown😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@dusty_wayle","I'll call the po po😂😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@wiliangbounewmai7155","Not only 2024... We r still watching even in 2025","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@Fopp217","0:22 mark didn’t look happy and “my n!gg@ mark!”","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@HraopouM","Anyone in 2025? 😮😊","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@T0GA-H1MIK0-1","Who is watching this is 2030","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@MaduwaSinera-r3f8x","Cute you 😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@inimbechainim8278","Anyone watching in 2025?","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@angelangonyani9474","he said oh my nigga Mark","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
